Date,Q,SC,NO3
2017/9/1,0.665445905,763,
2017/9/2,0.61447558,767,
2017/9/3,0.574831994,779,
2017/9/4,0.577663679,779,
2017/9/5,1.030733231,692,
2017/9/6,3.171486864,762,
2017/9/7,1.597070171,722,
2017/9/8,1.172317466,568,
2017/9/9,1.039228285,540,
2017/9/10,0.889148996,562,
2017/9/11,0.770218238,598,
2017/9/12,0.702257806,616,
2017/9/13,0.665445905,634,
2017/9/14,0.730574653,661,
2017/9/15,0.690931067,658,
2017/9/16,0.679604328,676,
2017/9/17,0.66261422,700,
2017/9/18,0.645624112,713,
2017/9/19,0.761723184,720,
2017/9/20,0.682436013,658,
2017/9/21,0.620138949,716,
2017/9/22,0.591822102,741,
2017/9/23,0.608812211,751,
2017/9/24,0.569168625,769,
2017/9/25,0.555010201,784,
2017/9/26,0.535188408,789,
2017/9/27,0.526693354,797,
2017/9/28,0.549346832,801,
2017/9/29,0.450237867,825,
2017/9/30,0.455901237,837,
2017/10/1,0.489881453,829,
2017/10/2,0.504039877,843,
2017/10/3,0.512534931,840,
2017/10/4,0.529525039,846,
2017/10/5,0.526693354,851,
2017/10/6,0.724911283,810,
2017/10/7,0.770218238,751,
2017/10/8,0.628634003,779,
2017/10/9,17.81129676,473,
2017/10/10,10.53386708,506,
2017/10/11,3.68119011,531,
2017/10/12,2.466397374,582,
2017/10/13,2.052971408,625,
2017/10/14,1.585743432,663,
2017/10/15,1.220456106,694,
2017/10/16,1.044891654,711,
2017/10/17,0.948614375,718,
2017/10/18,0.872158888,723,
2017/10/19,0.804198455,723,
2017/10/20,0.778713293,722,
2017/10/21,0.750396446,727,
2017/10/22,0.707921175,731,
2017/10/23,0.70508949,746,
2017/10/24,1.339386863,683,
2017/10/25,1.214792736,717,
2017/10/26,1.328060124,782,
2017/10/27,1.08453524,786,
2017/10/28,1.514951315,725,
2017/10/29,1.51211963,721,
2017/10/30,1.74714946,759,
2017/10/31,1.682020712,761,
2017/11/1,1.676357342,763,
2017/11/2,10.73208501,630,
2017/11/3,21.6907048,495,
2017/11/4,13.45050233,469,
2017/11/5,13.76198764,493,
2017/11/6,84.38420406,334,
2017/11/7,36.52873263,361,
2017/11/8,14.01683927,429,
2017/11/9,8.268519324,543,
2017/11/10,5.861587329,585,
2017/11/11,4.615646061,611,
2017/11/12,3.936041733,627,
2017/11/13,3.596239569,643,
2017/11/14,2.888318394,662,
2017/11/15,2.557011284,690,
2017/11/16,2.551347915,703,
2017/11/17,2.576833077,719,
2017/11/18,84.66737253,469,
2017/11/19,294.4952088,201,
2017/11/20,69.09310668,337,
2017/11/21,30.01585782,423,
2017/11/22,18.4342674,484,
2017/11/23,12.54436322,528,
2017/11/24,9.939213297,557,
2017/11/25,8.381786712,587,
2017/11/26,6.965944362,608,
2017/11/27,6.031488411,625,
2017/11/28,5.09703246,642,
2017/11/29,4.389111285,665,
2017/11/30,4.049309121,694,
2017/12/1,3.822774345,716,
2017/12/2,3.539605875,732,
2017/12/3,3.086536323,744,
2017/12/4,2.916635241,751,
2017/12/5,3.143170017,747,
2017/12/6,3.228120558,765,
2017/12/7,3.001585782,762,
2017/12/8,2.562674654,752,
2017/12/9,2.554179599,768,
2017/12/10,2.429585473,759,
2017/12/11,2.242694282,760,
2017/12/12,2.075624885,754,
2017/12/13,1.897228749,804,
2017/12/14,2.118100156,802,
2017/12/15,2.353129986,831,
2017/12/16,2.474892428,821,
2017/12/17,2.726912366,819,
2017/12/18,2.944952088,805,
2017/12/19,3.907724886,770,
2017/12/20,4.53069552,726,
2017/12/21,4.190893356,751,
2017/12/22,3.426338487,761,
2017/12/23,4.870497684,782,
2017/12/24,12.85584854,701,
2017/12/25,8.4950541,673,
2017/12/26,3.482972181,760,
2017/12/27,2.282337868,765,
2017/12/28,2.024654561,787,
2017/12/29,1.905723803,819,
2017/12/30,1.829268316,831,
2017/12/31,1.766971253,859,
2018/1/1,1.701842505,899,
2018/1/2,1.673525658,911,
2018/1/3,1.594238486,922,
2018/1/4,1.529109738,908,
2018/1/5,1.503624576,914,
2018/1/6,1.500792891,946,
2018/1/7,1.500792891,970,
2018/1/8,1.455485936,972,
2018/1/9,1.396020557,,
2018/1/10,1.594238486,,
2018/1/11,33.69704793,,
2018/1/12,142.1505719,342,
2018/1/13,80.13667701,376,
2018/1/14,24.63565689,506,
2018/1/15,15.85743432,583,
2018/1/16,12.85584854,629,
2018/1/17,10.95861979,692,
2018/1/18,9.797629062,717,
2018/1/19,9.004757346,735,
2018/1/20,8.268519324,752,
2018/1/21,8.919806805,784,
2018/1/22,62.2970634,552,
2018/1/23,90.89707887,332,
2018/1/24,36.52873263,412,
2018/1/25,15.68753324,516,
2018/1/26,10.73208501,577,5.07
2018/1/27,9.91089645,614,4.76
2018/1/28,15.17782999,611,4.78
2018/1/29,11.46832304,618,4.79
2018/1/30,8.381786712,658,4.72
2018/1/31,6.116438952,705,4.98
2018/2/1,4.842180837,706,4.62
2018/2/2,4.105942815,752,4.56
2018/2/3,3.652873263,775,4.51
2018/2/4,3.426338487,769,4.09
2018/2/5,3.199803711,807,4.045
2018/2/6,3.001585782,828,3.72
2018/2/7,2.8316847,858,3.45
2018/2/8,2.701427204,872,3.14
2018/2/9,2.571169708,882,3.41
2018/2/10,2.474892428,906,2.82
2018/2/11,2.389941887,903,
2018/2/12,2.330476508,926,2.73
2018/2/13,2.537189491,935,3.04
2018/2/14,3.907724886,918,2.21
2018/2/15,33.41387946,690,2.443333333
2018/2/16,145.2654251,309,4.03
2018/2/17,45.59012367,401,5.29
2018/2/18,20.89783309,498,5.29
2018/2/19,78.15449772,435,3.9725
2018/2/20,118.9307574,284,2.856666667
2018/2/21,48.42180837,403,3.833333333
2018/2/22,67.9604328,387,3.106666667
2018/2/23,52.10299848,381,3.155
2018/2/24,37.94457498,453,3.74
2018/2/25,96.2772798,322,2.48
2018/2/26,39.92675427,372,3.1975
2018/2/27,20.07664452,477,3.64
2018/2/28,15.20614684,531,3.45
2018/3/1,65.69508504,465,1.78
2018/3/2,159.1406801,238,1.876666667
2018/3/3,69.65944362,305,2.746666667
2018/3/4,38.22774345,385,3.39
2018/3/5,25.40021176,451,3.443333333
2018/3/6,18.97228749,499,3.4
2018/3/7,15.85743432,534,3.29
2018/3/8,13.11070016,562,3.13
2018/3/9,11.24178826,587,2.97
2018/3/10,9.684361674,606,2.82
2018/3/11,8.580004641,626,2.83
2018/3/12,7.900400313,644,2.766666667
2018/3/13,7.164162291,658,2.56
2018/3/14,7.107528597,677,2.57
2018/3/15,7.164162291,685,2.3
2018/3/16,6.342973728,681,2.14
2018/3/17,5.918221023,693,2.2
2018/3/18,5.635052553,702,2.04
2018/3/19,5.436834624,699,1.79
2018/3/20,5.266933542,698,1.79
2018/3/21,5.38020093,726,1.64
2018/3/22,5.238616695,751,1.36
2018/3/23,5.38020093,731,1.19
2018/3/24,6.003171564,704,1.05
2018/3/25,6.059805258,715,0.98
2018/3/26,5.833270482,696,1.05
2018/3/27,7.050894903,605,1.23
2018/3/28,12.48772953,631,1.28
2018/3/29,23.6162504,582,1.955
2018/3/30,101.9406492,285,2.63
2018/3/31,30.86536323,371,3.785
2018/4/1,16.0839691,470,4.13
2018/4/2,12.17624421,521,3.706666667
2018/4/3,30.01585782,497,2.78
2018/4/4,120.9129367,246,2.043333333
2018/4/5,36.52873263,340,3.393333333
2018/4/6,18.00951469,453,3.7
2018/4/7,12.82753169,521,3.43
2018/4/8,10.02416384,565,3.26
2018/4/9,8.4950541,595,2.95
2018/4/10,7.503964455,617,2.21
2018/4/11,6.880993821,631,1.96
2018/4/12,6.626142198,630,1.65
2018/4/13,6.22970634,614,1.2
2018/4/14,6.909310668,587,1.57
2018/4/15,37.09506957,509,1.895
2018/4/16,99.95846991,281,2.4725
2018/4/17,28.60001547,383,3.336666667
2018/4/18,16.19723648,471,3.32
2018/4/19,12.17624421,528,3.03
2018/4/20,10.08079753,561,2.32
2018/4/21,8.466737253,575,2.08
2018/4/22,7.64554869,581,1.6
2018/4/23,7.050894903,580,1.516666667
2018/4/24,7.050894903,591,1.56
2018/4/25,8.834856264,603,1.54
2018/4/26,9.089707887,627,1.62
2018/4/27,7.532281302,605,1.77
2018/4/28,7.164162291,608,1.67
2018/4/29,6.51287481,620,1.51
2018/4/30,5.889904176,629,1.393333333
2018/5/1,5.521785165,639,1.28
2018/5/2,5.210299848,646,1.12
2018/5/3,6.51287481,642,1.04
2018/5/4,10.05248069,634,1.08
2018/5/5,7.107528597,613,0.99
2018/5/6,6.144755799,628,0.77
2018/5/7,6.569508504,612,1.063333333
2018/5/8,5.606735706,631,1
2018/5/9,5.012081919,641,0.84
2018/5/10,5.635052553,647,1.32
2018/5/11,5.720003094,663,0.92
2018/5/12,5.068715613,677,1.02
2018/5/13,24.60734004,549,2.6
2018/5/14,33.69704793,396,4.0525
2018/5/15,27.55229213,419,4.65
2018/5/16,13.39386863,506,4.11
2018/5/17,8.834856264,569,3.01
2018/5/18,7.220795985,600,2.38
2018/5/19,6.371290575,594,2.24
2018/5/20,8.155251936,622,1.76
2018/5/21,6.456241116,582,2.223333333
2018/5/22,26.70278672,487,2.43
2018/5/23,23.95605256,432,4.513333333
2018/5/24,10.05248069,552,4.21
2018/5/25,6.852676974,602,4.02
2018/5/26,5.94653787,618,4.26
2018/5/27,14.01683927,496,3.256666667
2018/5/28,7.249112832,493,3.23
2018/5/29,5.295250389,583,2.983333333
2018/5/30,4.559012367,639,2.57
2018/5/31,4.304160744,669,2.34
2018/6/1,5.606735706,655,2.01
2018/6/2,5.776636788,600,5.75
2018/6/3,4.700596602,662,3.94
2018/6/4,3.992675427,691,3.18
2018/6/5,3.567922722,704,2.41
2018/6/6,3.256437405,723,2.06
2018/6/7,3.086536323,725,1.69
2018/6/8,2.944952088,714,1.3
2018/6/9,3.369704793,708,1.27
2018/6/10,29.73268935,545,5.313333333
2018/6/11,73.34063373,390,9.06
2018/6/12,30.01585782,503,15.96666667
2018/6/13,12.2895116,568,13.79
2018/6/14,7.588914996,615,11.22
2018/6/15,5.635052553,644,8.83
2018/6/16,4.615646061,664,6.97
2018/6/17,4.134259662,676,5.5
2018/6/18,3.822774345,683,4.5
2018/6/19,3.907724886,669,3.95
2018/6/20,3.369704793,685,3.13
2018/6/21,3.39802164,690,2.33
2018/6/22,3.284754252,698,1.87
2018/6/23,3.426338487,665,1.92
2018/6/24,3.539605875,648,1.14
2018/6/25,3.086536323,683,1.193333333
2018/6/26,2.828853015,700,1.34
2018/6/27,3.511289028,673,5.38
2018/6/28,3.851091192,679,0.87
2018/6/29,3.68119011,697,0.66
2018/6/30,3.029902629,686,1.14
2018/7/1,2.650456879,685,1.19
2018/7/2,2.446575581,690,0.813333333
2018/7/3,2.820357961,694,0.42
2018/7/4,3.766140651,677,2.46
2018/7/5,4.275843897,647,1.85
2018/7/6,4.360794438,569,6.85
2018/7/7,3.029902629,616,4.35
2018/7/8,2.494714221,640,2.55
2018/7/9,2.225704174,646,1.796666667
2018/7/10,2.137921949,649,1.75
2018/7/11,1.970852551,,1.52
2018/7/12,1.854753479,,1.46
2018/7/13,1.78962473,646,1.73
2018/7/14,1.721664298,652,1.77
2018/7/15,1.645208811,678,1.875
2018/7/16,1.611228594,695,1.22
2018/7/17,1.625387018,702,1.33
2018/7/18,1.591406801,707,1.57
2018/7/19,1.537604792,719,1.14
2018/7/20,1.662198919,740,1.17
2018/7/21,1.738654406,712,4.92
2018/7/22,1.727327667,726,0.89
2018/7/23,1.962357497,740,1.203333333
2018/7/24,10.4205997,463,1.786666667
2018/7/25,4.502378673,471,1.933333333
2018/7/26,3.029902629,575,0.91
2018/7/27,2.673110357,570,0.46
2018/7/28,2.330476508,586,0.66
2018/7/29,2.12093184,585,0.68
2018/7/30,1.919882227,587,0.806666667
2018/7/31,1.849090109,601,
2018/8/1,1.880238641,,0.96
2018/8/2,1.880238641,,1.07
2018/8/3,1.956694128,700,1.37
2018/8/4,1.826436632,722,1.37
2018/8/5,1.682020712,737,1.28
2018/8/6,1.591406801,745,1.366666667
2018/8/7,1.965189182,740,1.64
2018/8/8,2.554179599,705,0.53
2018/8/9,2.576833077,745,0.86
2018/8/10,2.225704174,718,1.97
2018/8/11,9.118024734,429,3.19
2018/8/12,3.907724886,,2.685
2018/8/13,2.599486555,,1.765
2018/8/14,2.101110047,589,
2018/8/15,1.834931686,609,
2018/8/16,1.914218857,634,
2018/8/17,2.282337868,633,
2018/8/18,3.001585782,614,
2018/8/19,3.313071099,653,
2018/8/20,2.571169708,676,
2018/8/21,26.41961825,478,1.08
2018/8/22,40.20992274,329,3.34
2018/8/23,9.316242663,440,2.69
2018/8/24,4.162576509,494,2.4
2018/8/25,2.772219321,535,2
2018/8/26,8.77822257,389,1.97
2018/8/27,3.228120558,484,1.663333333
2018/8/28,2.067129831,570,1.13
2018/8/29,1.65087218,600,0.66
2018/8/30,5.040398766,558,0.68
2018/8/31,3.256437405,480,0.87
2018/9/1,2.069961516,479,1.3
2018/9/2,1.60839691,533,1
2018/9/3,1.41584235,583,1.72
2018/9/4,1.257268007,612,0.515
2018/9/5,1.149663988,647,0.83
2018/9/6,1.611228594,639,4.56
2018/9/7,2.220040805,635,0.64
2018/9/8,2.973268935,634,0.98
2018/9/9,3.313071099,577,0.76
2018/9/10,10.87366925,554,1.3525
2018/9/11,8.325153018,525,3.43
2018/9/12,4.162576509,543,3.13
2018/9/13,2.724080681,579,2.11
2018/9/14,2.163407111,616,1.99
2018/9/15,1.88590201,643,1.64
2018/9/16,1.684852397,662,1.56
2018/9/17,1.495129522,679,0.886666667
2018/9/18,1.359208656,688,0.87
2018/9/19,1.568753324,682,0.52
2018/9/20,1.435664143,673,0.77
2018/9/21,1.413010665,710,0.79
2018/9/22,1.237446214,729,1.03
2018/9/23,1.141168934,742,0.59
2018/9/24,1.110020402,754,1.136666667
2018/9/25,1.948199074,690,0.67
2018/9/26,14.32832458,512,1.67
2018/9/27,11.44000619,478,2.405
2018/9/28,4.24752705,550,2.64
2018/9/29,2.636298456,575,2.45
2018/9/30,2.010496137,605,1.98
2018/10/1,1.704674189,628,1.66
2018/10/2,1.546099846,645,1.38
2018/10/3,1.435664143,660,1.29
2018/10/4,1.455485936,676,1.12
2018/10/5,1.299743277,704,0.95
2018/10/6,1.925545596,695,0.32
2018/10/7,54.65151471,392,2.126666667
2018/10/8,23.47466616,414,3.7975
2018/10/9,8.608321488,479,3.71
2018/10/10,4.927131378,538,3.01
2018/10/11,3.68119011,582,2.64
2018/10/12,2.772219321,620,2.53
2018/10/13,2.636298456,647,1.97
2018/10/14,2.35596167,668,1.86
2018/10/15,2.129426894,690,1.67
2018/10/16,1.871743587,714,1.485
2018/10/17,1.684852397,725,1.23
2018/10/18,1.537604792,738,1.12
2018/10/19,1.441327512,751,1.04
2018/10/20,1.410178981,752,0.94
2018/10/21,1.455485936,752,0.66
2018/10/22,1.356376971,754,0.703333333
2018/10/23,1.333723494,762,0.75
2018/10/24,1.379030449,768,0.69
2018/10/25,1.288416539,777,0.75
2018/10/26,1.282753169,777,0.84
2018/10/27,2.446575581,713,0.5
2018/10/28,13.02574962,635,1.183333333
2018/10/29,60.31488411,377,3.775
2018/10/30,17.07505874,458,5.495
2018/10/31,7.787132925,533,5.53
2018/11/1,100.8079753,417,3.753333333
2018/11/2,331.3071099,227,2.45
2018/11/3,102.5069861,348,5.576666667
2018/11/4,36.8119011,434,6.295
2018/11/5,21.49248687,502,6.436666667
2018/11/6,19.3404065,531,5.47
2018/11/7,16.84852397,548,5.06
2018/11/8,10.56218393,573,4.79
2018/11/9,11.07188718,573,3.63
2018/11/10,10.87366925,563,3.46
2018/11/11,9.656044827,601,3.42
2018/11/12,8.013667701,606,3.153333333
2018/11/13,7.050894903,609,2.91
2018/11/14,6.201389493,626,2.72
2018/11/15,7.447330761,654,2.62
2018/11/16,30.01585782,543,3.31
2018/11/17,18.17941577,499,3.74
2018/11/18,12.06297682,541,4.49
2018/11/19,16.73525658,563,4.52
2018/11/20,12.62931376,565,4.64
2018/11/21,9.372876357,605,4.81
2018/11/22,6.937627515,639,4.67
2018/11/23,5.635052553,669,4.53
2018/11/24,9.854262756,675,4.16
2018/11/25,21.23763525,542,3.49
2018/11/26,41.05942815,455,2.61
2018/11/27,50.68715613,360,3.723333333
2018/11/28,18.9156538,457,4.755
2018/11/29,10.81703555,547,4.91
2018/11/30,8.296836171,606,4.97
2018/12/1,14.52654251,622,4.28
2018/12/2,56.06735706,388,2.963333333
2018/12/3,25.62674654,410,3.9825
2018/12/4,16.5653555,500,3.98
2018/12/5,12.09129367,557,4.06
2018/12/6,9.06139104,600,4.03
2018/12/7,6.994261209,637,4
2018/12/8,5.6633694,665,3.79
2018/12/9,4.672279755,700,3.68
2018/12/10,4.870497684,718,3.706666667
2018/12/11,5.776636788,724,3.29
2018/12/12,5.266933542,679,2.81
2018/12/13,4.870497684,678,2.58
2018/12/14,4.615646061,682,2.41
2018/12/15,4.700596602,686,2.3
2018/12/16,13.30891809,679,2.18
2018/12/17,19.19882227,526,3.486666667
2018/12/18,9.62772798,514,4.14
2018/12/19,6.937627515,581,4
2018/12/20,6.314656881,621,3.58
2018/12/21,89.19806805,385,2.11
2018/12/22,44.45744979,342,3.6
2018/12/23,18.00951469,448,4.11
2018/12/24,11.52495673,523,4.02
2018/12/25,8.806539417,571,3.8
2018/12/26,7.107528597,607,3.5
2018/12/27,6.088122105,632,3.3
2018/12/28,6.059805258,650,3.33
2018/12/29,6.654459045,678,3.02
2018/12/30,5.6633694,701,2.92
2018/12/31,22.28535859,607,2.72
2019/1/1,124.5941268,247,1.39
2019/1/2,34.54655334,355,3.49
2019/1/3,17.69802938,460,3.95
2019/1/4,12.17624421,528,3.85
2019/1/5,9.542777439,572,3.65
2019/1/6,7.673865537,601,3.37
2019/1/7,6.484557963,623,3.415
2019/1/8,9.599411133,624,3.055
2019/1/9,20.33149615,438,1.98
2019/1/10,8.155251936,477,2.41
2019/1/11,5.465151471,559,2.89
2019/1/12,4.502378673,616,
2019/1/13,4.332477591,655,2.98
2019/1/14,3.992675427,705,2.83
2019/1/15,3.256437405,735,2.66
2019/1/16,3.737823804,731,
2019/1/17,3.313071099,740,
2019/1/18,3.313071099,748,
2019/1/19,3.313071099,758,
2019/1/20,4.190893356,778,2.29
2019/1/21,4.219210203,815,
2019/1/22,3.851091192,,
2019/1/23,73.90697067,,1.69
2019/1/24,254.0021176,194,1.73
2019/1/25,73.34063373,300,3.45
2019/1/26,27.01427204,398,3.76
2019/1/27,17.4714946,463,3.45
2019/1/28,11.52495673,525,3.433333333
2019/1/29,9.62772798,564,2.92
2019/1/30,8.976440499,650,3.67
2019/1/31,8.77822257,701,3.4
2019/2/1,8.551687794,693,2.8
2019/2/2,8.353469865,693,2.79
2019/2/3,7.588914996,699,2.69
2019/2/4,13.30891809,590,1.84
2019/2/5,73.34063373,343,1.783333333
2019/2/6,48.1386399,370,2.48
2019/2/7,63.71290575,350,2.923333333
2019/2/8,71.35845444,325,3.05
2019/2/9,21.29426894,425,4.02
2019/2/10,13.05406647,527,3.65
2019/2/11,11.18515457,577,3.393333333
2019/2/12,48.98814531,521,1.875
2019/2/13,80.70301395,278,2.05
2019/2/14,23.95605256,395,3.28
2019/2/15,25.03209275,459,3.14
2019/2/16,19.3970402,466,3.12
2019/2/17,11.89307574,522,3.34
2019/2/18,9.797629062,575,3.383333333
2019/2/19,7.957034007,636,3.28
2019/2/20,9.259608969,660,3.2
2019/2/21,60.03171564,361,
2019/2/22,32.56437405,340,
2019/2/23,19.87842659,424,
2019/2/24,41.90893356,424,
2019/2/25,27.43902474,401,
2019/2/26,12.48772953,488,4.09
2019/2/27,9.401193204,563,3.15
2019/2/28,8.098618242,609,3.17
2019/3/1,6.880993821,642,2.54
2019/3/2,6.059805258,664,2.86
2019/3/3,5.606735706,682,2.64
2019/3/4,5.09703246,712,2.655
2019/3/5,4.275843897,783,3.2
2019/3/6,5.09703246,810,3.43
2019/3/7,4.474061826,816,2.92
2019/3/8,4.24752705,801,2.83
2019/3/9,5.040398766,710,2.13
2019/3/10,26.95763834,594,1.945
2019/3/11,21.52080372,384,2.7725
2019/3/12,10.08079753,450,3.73
2019/3/13,8.126935089,533,3.31
2019/3/14,12.7142643,562,3.135
2019/3/15,37.94457498,453,3.813333333
2019/3/16,19.25545596,426,4.86
2019/3/17,11.29842195,511,4.82
2019/3/18,8.749905723,571,4.323333333
2019/3/19,7.503964455,611,3.67
2019/3/20,6.739409586,638,3.26
2019/3/21,6.880993821,651,2.96
2019/3/22,6.937627515,665,2.93
2019/3/23,6.088122105,676,2.49
2019/3/24,5.38020093,680,2.29
2019/3/25,5.125349307,674,2.19
2019/3/26,4.672279755,676,1.96
2019/3/27,4.304160744,680,1.91
2019/3/28,4.219210203,676,1.78
